model_id,system_id,instance_id,family,semantic_faithfulness,code_consistency,vacuity_rate,proof_utility,missing_units,contradiction_signal,main_failure_mode
code_only_v1,code_only,arrays_binary_search_001,arrays_binary_search,1.0000,1.0000,0.0000,0.3150,0,0,
full_method_v1,full_method,arrays_binary_search_001,arrays_binary_search,0.2500,0.5000,0.0000,0.2087,3,0,low_semantic_faithfulness
code_only_v1,code_only,arrays_max_subarray_001,arrays_max_subarray,1.0000,1.0000,0.0000,0.3150,0,0,
full_method_v1,full_method,arrays_max_subarray_001,arrays_max_subarray,0.9000,1.0000,0.0000,0.3008,0,0,
code_only_v1,code_only,dp_knapsack_01_001,dp_knapsack_01,0.8333,1.0000,0.0000,0.7076,0,0,
full_method_v1,full_method,dp_knapsack_01_001,dp_knapsack_01,0.8333,1.0000,0.0000,0.7076,0,0,
code_only_v1,code_only,dp_longest_common_subsequence_001,dp_longest_common_subsequence,0.7500,1.0000,0.0000,0.2796,0,0,
full_method_v1,full_method,dp_longest_common_subsequence_001,dp_longest_common_subsequence,0.2000,0.5000,0.2000,0.2016,3,0,low_semantic_faithfulness
code_only_v1,code_only,graph_bfs_shortest_path_001,graph_bfs_shortest_path,1.0000,1.0000,0.0000,0.3150,0,0,
full_method_v1,full_method,graph_bfs_shortest_path_001,graph_bfs_shortest_path,1.0000,1.0000,0.0000,0.3150,0,0,
code_only_v1,code_only,graph_dijkstra_001,graph_dijkstra,0.9167,1.0000,0.0000,0.7363,0,0,
full_method_v1,full_method,graph_dijkstra_001,graph_dijkstra,0.9286,1.0000,0.0000,0.7404,0,0,
code_only_v1,code_only,greedy_coin_change_canonical_001,greedy_coin_change_canonical,0.7500,1.0000,0.0000,0.2796,0,0,
full_method_v1,full_method,greedy_coin_change_canonical_001,greedy_coin_change_canonical,0.8000,1.0000,0.0000,0.2867,0,0,
code_only_v1,code_only,greedy_interval_scheduling_001,greedy_interval_scheduling,0.7500,1.0000,0.0000,0.2796,1,0,
full_method_v1,full_method,greedy_interval_scheduling_001,greedy_interval_scheduling,0.8000,1.0000,0.0000,0.6962,0,0,
code_only_v1,code_only,sorting_insertion_sort_001,sorting_insertion_sort,0.8333,1.0000,0.0000,0.2914,0,0,
full_method_v1,full_method,sorting_insertion_sort_001,sorting_insertion_sort,0.8333,1.0000,0.0000,0.7076,0,0,
code_only_v1,code_only,sorting_merge_sort_001,sorting_merge_sort,1.0000,1.0000,0.0000,0.3150,0,0,
full_method_v1,full_method,sorting_merge_sort_001,sorting_merge_sort,1.0000,1.0000,0.0000,0.7650,0,0,
code_only_v1,code_only,trees_bst_insert_001,trees_bst_insert,0.9000,1.0000,0.0000,0.3008,0,0,
full_method_v1,full_method,trees_bst_insert_001,trees_bst_insert,1.0000,1.0000,0.0000,0.7650,0,0,
code_only_v1,code_only,trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,0.8333,1.0000,0.0000,0.2914,0,0,
full_method_v1,full_method,trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,0.6667,1.0000,0.0000,0.6502,3,0,
