evidence_view,system,family,failure_mode,count,share_within_system,share_global,n_rows_for_system,critical_unit_opportunities,failure_events_per_row,missing_critical_units_per_critical_unit_opportunity
strict_independent,code_only_v1,global,low_faithfulness,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,code_only_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,code_only_v1,global,missing_critical_semantic_unit,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,full_method_v1,global,low_faithfulness,3,0.333333,0.026087,44,156,0.068182,0.019231
strict_independent,full_method_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,44,156,0.000000,0.000000
strict_independent,full_method_v1,global,missing_critical_semantic_unit,6,0.666667,0.052174,44,156,0.136364,0.038462
strict_independent,naive_concat_v1,global,low_faithfulness,0,0.000000,0.000000,63,216,0.000000,0.000000
strict_independent,naive_concat_v1,global,low_semantic_faithfulness,4,0.093023,0.034783,63,216,0.063492,0.018519
strict_independent,naive_concat_v1,global,missing_critical_semantic_unit,39,0.906977,0.339130,63,216,0.619048,0.180556
strict_independent,text_only_v1,global,low_faithfulness,0,0.000000,0.000000,68,237,0.000000,0.000000
strict_independent,text_only_v1,global,low_semantic_faithfulness,10,0.158730,0.086957,68,237,0.147059,0.042194
strict_independent,text_only_v1,global,missing_critical_semantic_unit,53,0.841270,0.460870,68,237,0.779412,0.223629
