evidence_view,system,family,failure_mode,count,share_within_system,share_global,n_rows_for_system,critical_unit_opportunities,failure_events_per_row,missing_critical_units_per_critical_unit_opportunity
expanded_propagated,code_only_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,code_only_v1,global,missing_critical_semantic_unit,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,code_only_v1,global,no_failures_recorded,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,full_method_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,full_method_v1,global,missing_critical_semantic_unit,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,full_method_v1,global,no_failures_recorded,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,naive_concat_v1,global,low_semantic_faithfulness,4,0.133333,0.052632,84,294,0.047619,0.013605
expanded_propagated,naive_concat_v1,global,missing_critical_semantic_unit,26,0.866667,0.342105,84,294,0.309524,0.088435
expanded_propagated,naive_concat_v1,global,no_failures_recorded,0,0.000000,0.000000,84,294,0.000000,0.000000
expanded_propagated,text_only_v1,global,low_semantic_faithfulness,10,0.217391,0.131579,84,294,0.119048,0.034014
expanded_propagated,text_only_v1,global,missing_critical_semantic_unit,36,0.782609,0.473684,84,294,0.428571,0.122449
expanded_propagated,text_only_v1,global,no_failures_recorded,0,0.000000,0.000000,84,294,0.000000,0.000000
